title,updated,entity,topic,winner,is_new,is_pick,filename,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated
Priciest Suites at NFL Games: Teams,9/12/2014,other,lifestyle,San Francisco 49ers,NA,TRUE,priciest-suites-at-nfl-games-teams.csv,"A 20-seat suite to watch an NFL game can cost as little as $4,610 in Oakland or as much as $60,000 in San Francisco",NA,http://www.bloomberg.com/video/nfl-fans-pay-the-price-to-live-the-suite-life-VgBAB7orQ9aTHuX9umU5WQ.html,NA,Bloomberg ranked the rental of single-game suites for 20 people during the NFL 2014 season by the highest price in the range.,"The lowest price is also shown. Prices vary according to popularity of the opponent as well as the suite location. Prices may include food credits, parking passes and other amenities. Baltimore Ravens do not offer single-game suites as their suites are contracted for five, seven and nine years. We did not receive information from the New Orleans Saints. The Tampa Bay Buccaneers and the Washington Redskins declined to comment.",NFL teams,2014-09-12
Most Crowded in 2025: Global Cities,9/12/2014,places,lifestyle,"Hong Kong SAR, China",NA,TRUE,most-crowded-in-2025-global-cities-1.csv,Hong Kong will likely remain No. 1 by far in population per square mile in 2025 while two cities in Saudi Arabia will experience population growth of more than 135%,NA,http://www.bloomberg.com/news/2014-09-23/nyc-phttp://www.bloomberg.com/news/2014-09-23/nyc-park-to-singapore-labs-go-underground-in-space-hunt.html,NA,Bloomberg ranked 40 urban areas where population growth within one generation (1995-2025) was expected to reach 4.5 million based on population per square mile.,"Ranking assumes no additional land erosion or land reclamation by 2025. Only countries with GDP per capita of at least $10,000 as of 2014 are included.","Bloomberg, Demographia, International Monetary Fund, United Nations",2014-09-12
Costliest Insured Losses 1970 to 2013: Catastrophes,9/1/2014,other,business,"Hurricane Katrina; storm surge, levee failure, damage to oil rigs",NA,TRUE,costliest-insured-losses-1970-to-2013-catastrophes.csv,Half of the 15 costliest catastrophes since 1970 have occurred in the past 10 years,NA,NA,NA,Bloomberg ranked the costliest catastrophes from 1970 to 2013 based on insured loss.,"Loss includes property and business interruption, excluding liability and life insurance losses. Victims include dead and missing.",Swiss Re,2014-09-01
Biggest Spenders in Casinos: States,8/25/2014,places,business,Nevada,NA,TRUE,biggest-spenders-in-casinos-states.csv,"Consumers spend more than three times as much on casino gaming in Nevada than in Pennsylvania, which pays the most in casino tax revenue",NA,http://www.bloomberg.com/news/2014-09-03/atlantic-city-s-casino-closings-squeeze-homeowners-muni-credit.html,NA,Bloomberg ranked the 23 states with legalized commercial casino gaming based on consumer spending.,"Spending, also known as gross gaming revenue, is the money retained by casinos after accepting bets and paying winnings. Also included are the total tax revenue casinos in each state pay to the state, county and/or city in which they are located, the percentage of spending that goes to taxes and the number of casino jobs. Figures are for calendar year 2013.",American Gaming Association,2014-08-25
Most Efficient Health Care 2014: Countries,8/25/2014,places,lifestyle,Singapore,NA,TRUE,most-efficient-health-care-2014-countries.csv,Singapore is best in Bloomberg's second annual ranking of countries with the most efficient health care while the U.S. remains near the bottom,NA,http://www.bloomberg.com/news/2014-09-18/singapore-beats-hong-kong-in-health-efficiency-southeast-asia.html,NA,Bloomberg ranked countries based on the efficiency of their health-care systems.,"Each country was ranked on three criteria: life expectancy (weighted 60%), relative per capita cost of health care (30%); and absolute per capita cost of health care (10%). Within each criterion, 80% of the score was derived from the most recent health-care system assessment and 20% to changes, if any, over the previous year. Relative cost is health cost as a percentage of GDP. Absolute cost is total health expenditure, which covers preventive and curative health services, family planning, nutrition activities and emergency aid. Changes were measured by baseline-adjusted life expectancy improvements, relative health-care cost increase, cost increase relative to increase in general income and consumer prices, and absolute per capita health-cost increase in U.S. dollar terms. Countries were scored on each criterion and the scores were weighted and summed to obtain their efficiency scores. Included were countries with populations of at least five million, GDP per capita of at least $5,000 and life expectancy of at least 70 years.","World Bank, International Monetary Fund, World Health Organization, Hong Kong Department of Health",2014-08-25
Priciest of All Time: Classic Cars,8/25/2014,investments,investing,250 GTO Berlinetta (Ferrari),NA,TRUE,priciest-of-all-time-classic-cars.csv,Six cars sold at auction during one week in August show up on this ranking of 20 most expensive collectible cars,NA,NA,NA,"Bloomberg ranked collectible cars sold at auction as of August 25, 2014, based on the selling price, then ranked them by the inflation-adjusted price.",Prices include the hammer price (the winning bid at auction) plus buyer's premium (the fee paid by the successful bidder to the auctioneer). Selling prices reflect exchange rates to U.S. dollars on the auction date.,"Bloomberg, sportscarmarket.com",2014-08-25
Women in the S&P 500: CEOs,8/20/2014,people,business,Barbara Rentler,NA,TRUE,women-in-the-s-p-500-ceos.csv,Eleven of the 24 women CEOs in the S&P 500 have assumed their jobs since 2012,NA,http://www.businessweek.com/articles/2014-08-28/more-women-in-top-corporate-jobs-but-not-on-ceo-career-path,NA,Bloomberg listed women CEOs of the S&P 500 based on the date they were hired.,The most recent hires are listed first.,Bloomberg,2014-08-20
Where Hipsters Live: U.S. Metro Areas,8/19/2014,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NA,TRUE,where-hipsters-live-u-s-metro-areas.csv,"The top 25 hipster havens include Salt Lake City, Las Vegas and Orlando",NA,NA,NA,"Bloomberg ranked the areas where young, creative and environmentally conscious people tend to congregate.","More than 260 metropolitan statistical areas were ranked on the number of 25- to 34-year-old residents; the percentage employed within that age group; the percentage of commuters who use ""green"" transportation to work (public transportation, bicycles, walking) or work at home; and employment in fields including art, design, media, writing and music. The ranks were converted into percentages and averaged to determine the MSA order.  Excluded were MSAs with fewer than 50,000 residents ages 25 to 34.","Bureau of Labor Statistics, Census, 2012 1-year American Community Survey",2014-08-19
Booming Hipster Neighborhoods: U.S. Metro Areas,8/19/2014,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",NA,TRUE,booming-hipster-neighborhoods-u-s-metro-areas.csv,"Astoria, Bushwick and Yorkville top list of growing hipster communities",NA,NA,NA,"Bloomberg ranked the areas where young, creative and environmentally conscious people tend to congregate.","More than 260 metropolitan statistical areas were ranked on the number of 25- to 34-year-old residents; the percentage employed within that age group; the percentage of commuters who use ""green"" transportation to work (public transportation, bicycles, walking) or work at home; and employment in fields including art, design, media, writing and music. The ranks were converted into percentages and averaged to determine the MSA order. Then Yelp and other sources were used to identify neighborhoods within the top 50 MSAs that had numerous ""hipster"" amenities while being relatively affordable. Among the amenities considered: vintage clothing stores, bars, independent music venues, record stores, tattoo parlors, vegan restaurants and artisanal food. Excluded were MSAs with fewer than 50,000 residents ages 25 to 34.","Bureau of Labor Statistics, Census, 2012 1-year American Community Survey, Realtor.com, Yelp, Zillow",2014-08-19
Most Bicycle Commuters: U.S. Cities,8/19/2014,places,lifestyle,"Portland, OR",NA,TRUE,most-bicycle-commuters-u-s-cities.csv,Bicycling is gaining in popularity among workers in major U.S. cities,NA,http://www.bloomberg.com/news/2014-08-22/china-races-ahead-of-the-pack-as-bike-sharing-goes-viral.html,NA,"Bloomberg ranked cities with populations of at least 250,000 based on the use of bicycles for transportation to work.",The 30 cities with the highest percentage of bicyclists are shown.,U.S. Census,2014-08-19
Most Wanted Unidentified Bank Robbers: States,8/19/2014,places,politics-and-policy,New Mexico,NA,TRUE,most-wanted-unidentified-bank-robbers-states.csv,"Marking the 80th anniversary of fatal shootouts involving Bonnie & Clyde, John Dillinger, Pretty Boy Floyd and Baby Face Nelson, here are the places that have seen the most unidentified bank robbers",NA,NA,NA,"Bloomberg ranked states and the District of Columbia based on the number of wanted, yet unidentified, bank robbers.","The remaining 30 states do not have any ""unknown"" unapprehended suspects, according to the Federal Bureau of Investigation.",Federal Bureau of Investigation,2014-08-19
Most Loved: Stocks,8/18/2014,investments,investing,LKQ,NA,TRUE,most-loved-stocks.csv,"Despite its 8% drop in the past three months, auto wholesaler LKQ is analysts' favorite large U.S. stock",NA,NA,NA,"Bloomberg ranked stocks on a ""love scale"" based on two equally weighted factors: the Bloomberg consensus rating, which is calculated by converting analysts' recommendations into a number from 1 (strong sell) to 5 (strong buy) and taking the average, and the three-month change in the consensus rating.","Included were U.S. stocks with market capitalizations greater than $5 billion, coverage by 15 or more analysts and no ""sell"" ratings.",Bloomberg,2014-08-18
Most Hated: Stocks,8/18/2014,investments,investing,TW Telecom,NA,TRUE,most-hated-stocks.csv,"Despite its 20% rise in the past three months, TW Telecom is analysts' least favorite large U.S. stock",NA,NA,NA,"Bloomberg ranked stocks on a ""hate scale"" based on two equally weighted factors: the Bloomberg consensus rating, which is calculated by converting analysts' recommendations into a number from 1 (strong sell) to 5 (strong buy) and taking the average, and the three-month change in the consensus rating.","Included were U.S. stocks with market capitalizations greater than $5 billion and coverage by 15 or more analysts, of whom at least 10% have given the stock a ""sell"" rating.",Bloomberg,2014-08-18
Highest Concentration in U.S. and Metro Areas: Ancestries,7/30/2014,people,lifestyle,German,NA,TRUE,highest-concentration-in-u-s-and-metro-areas-ancestries.csv,More than 15% of the U.S. population is of German ancestry,NA,NA,NA,Bloomberg ranked ancestries on the estimated percentage of U.S. population represented and identified the three metropolitan areas with the highest concentration of each ancestry or origin.,"The Census Bureau defines ancestry as a personâ€™s ethnic origin, heritage, descent or â€œroots,â€ which may reflect their place of birth, place of birth of parents or ancestors and ethnic identities that have evolved within the United States. Data for European, Middle Eastern, Arab and Sub-Saharan African ancestries were directly captured by ancestry questions in the American Community Survey. South American ancestries were calculated using data from the ""Hispanic or Latino origin by specific origins"" tables, while Asian ancestries were calculated from ""Asian race & ethnicity"" tables. American Indians and Alaskan Native ancestries were counted only if individuals identified with specific tribes. Spaniards only included people who specifically identified their ancestry as Spaniard.","U.S. Census, 2008-2012 American Community Survey 5-Year Estimates",2014-07-30
Biggest Projected Reduction in Emissions by 2030: States,7/28/2014,places,business,Maine,NA,TRUE,biggest-projected-reduction-in-emissions-by-2030-states.csv,"Maine might have to reduce emissions by 67% under the EPA's Clean Power Plan, according to one set of modeling scenarios",NA,NA,NA,Bloomberg ranked states by the stringency of their adjusted emissions rate (AER) standards under the Clean Power Plan.,"For this analysis, Bloomberg New Energy Finance compared each state's CO2 emissions forecast under a ""business as usual"" (BAU) scenario (emissions without the Clean Power Plan) to emissions under a Clean Power Plan compliance scenario.  Emissions forecasts come from the EPA's Integrated Planning Model.  Nevada, Kentucky, Maryland and Rhode Island would have higher emissions with the Clean Power Plan than without it, according to EPA modeling--perhaps the result of a rise in emissions from new units, which are not covered by the plan, and other factors. Excluded are Hawaii and Alaska, which are not analyzed in the EPA's model, and Vermont and the District of Columbia, which are exempt from the EPA regulations.",Bloomberg New Energy Finance,2014-07-28
Most Expensive Droughts: States,7/28/2014,places,economics,Texas,NA,TRUE,most-expensive-droughts-states-1.csv,The Federal Crop Insurance Program paid out over $4B in 2013 just for drought,NA,http://www.bloomberg.com/news/2014-08-01/california-farms-sink-wells-as-record-drought-escalates.html,NA,Bloomberg ranked states receiving payments in 2013 from the Federal Crop Insurance Program for losses caused by drought.,"These payments are for indemnified crop losses and came from both the federal government and private insurance companies. Not included were payments made to farmers for heat and hot wind losses. Arizona, Connecticut, Maine, New Hampshire, Rhode Island, Vermont and the District of Columbia did not receive payouts specifically for drought.",Natural Resources Defense Council,2014-07-28
Most Popular Among Billionaires: Colleges,7/24/2014,schools,education,Dropped out,NA,TRUE,most-popular-among-billionaires-colleges.csv,One quarter of self-made billionaires who are U.S. citizens don't have a bachelor's degree. The rest were just as likely to graduate from a state university as an Ivy,NA,NA,NA,"Bloomberg ranked undergraduate colleges based on the number of Bloomberg Billionaires who graduated, and tallied up the number of billionaires who dropped out or didn't attend college.",Included in the ranking were the 43 self-made Bloomberg Billionaires who are also U.S. citizens.,Bloomberg,2014-07-24
Best 401(k) Plans: Companies,7/18/2014,companies,business,ConocoPhillips,NA,TRUE,best-401-k-plans-companies.csv,NA,NA,http://www.bloomberg.com/news/2014-07-22/conocophillips-best-among-401-k-plans-with-facebook-last.html,"*Companies that received the highest score on the match because they made contributions that at least doubled those of their employees.
**Company match assumed a $51,000 income (the median in the U.S.) and a 6 percent contribution (based on industry averages) or used the automatic enrollment rate for new hires.
***Companies provide dollar match: Costco Wholesale ($500); Whole Foods ($152); Wynn Resorts ($500).","Bloomberg ranked the 401(k) plans of the 250 biggest companies in the S&P 500 as of February 21, 2014.","Each company was given a score based on its filings with the Department of Labor for 2012, the most recent year for which data were complete. The score was based on seven criteria, which were weighted. The criteria are: potential company match (50%); additional company profit-sharing or retirement contribution (15%); years to vest (15%); investment offering of stock, bond, international index funds (10%); automatic enrollment (10%). 
Nine companies received the highest score on the match because they made contributions that at least doubled those of their employees. These figures have single asterisks in the chart. Deductions from the score were made for companies that paid their company match at or after year-end (-3%) or required employees to work at least one year before receiving the company match (-3%). The ranking considered the 401(k) benefits that a new, nonunion and salaried hire would generally receive. The ranking excluded data from additional pension plans offered by the companies outside of the 401(k) plan. Ten companies were excluded because they couldn't be ranked. Four -- Intel, Kinder Morgan, Procter & Gamble, and W.W. Grainger -- didn't offer a match, yet contributed in other ways to the 401(k) plan. The other six -- AbbVie, Berkshire Hathaway, Emerson Electric, General Dynamics, Johnson Controls and Omnicom Group -- had different plans at multiple subsidiaries or didn't provide enough data in the filings.

COMPANIES COMMENT ON OUR RANKING

Bloomberg News reached out to the top 10 and bottom 10 ranked companies. Their responses are provided below. 

TOP RANKED

ConocoPhillips: ""Our goal is to help employees replace at least 80 percent of their incomes in retirement, by providing two-thirds of the savings contributions they'll need, while they save one-third,"" said Lynn Tramel, a benefits manager.

Philip Morris International Inc.: ""Rewarding and investing in our employees, through career development programs, strong reward programs and benefits such as a robust retirement package for our U.S. personnel is essential to ensuring that we can attract, motivate and retain the best global talent,"" said Corey Henry, a spokesman.   

Amgen Inc.: ""We believe our program helps us to attract, engage and retain the highly trained scientific and technical professionals we need,"" said Stuart Tross, senior vice president for human resources.   

Boston Scientific Corp.: ""Our goal is to help employees adequately prepare for retirement,"" said Wendy Carruthers, senior vice president of human resources.  

DuPont & Co.: ""Our view is that planning for retirement is a joint responsibility of employees and the company,"" said Ron Miller, director of global compensation and benefits.

Visa Inc.: â€œWe put a lot of effort behind attracting and retaining the best talent in an increasingly competitive environment. One way Visa stands out from our competitors is by offering a compelling compensation and benefits package - including a 401(k) with a two for one match,"" said Michael Ross, executive vice president of global human resources.  

Abbott Laboratories: ""As a company, we're involved in lengthening life and that starts with our employees. One reason we match 5% on 2% is to encourage people to start saving early, when they don't have as much discretionary income, and our plan also helps us retain talented people,"" said Stephen Fussell, executive vice president of human resources.   

McDonald's:  ""We want to encourage people to start saving early in their careers,"" said Lisa Emerson, vice president for global total compensation.

Ingersoll-Rand Plc: ""With a significant company matching contribution and the ability for our employees to direct their investments, we believe the Ingersoll Rand 401(k) plan is a valuable savings tool for our employees to plan for their future,"" said Misty Zelent, a spokeswoman.

Spokesmen for Mead Johnson Nutrition Co., Baker Hughes Inc., Freeport-McMoRan Inc., TE Connectivity Ltd. and Caterpillar Inc. declined to comment.

BOTTOM 10

MetLife Inc.: ""MetLife looks at the total retirement benefits package for our employees and believes it is competitive with our industry. In addition to the 401(k) plan, our U.S.-based associates are eligible to participate in a tax qualified cash balance plan after one year of service,"" said John Calagna, a spokesman.   

Carnival Corp.: ""As of January 1, 2014, employees with at least 90 calendar days of employment are automatically enrolled with a 3% contribution. Employees may opt out of the plan but if they don't, the percentage will increase automatically each year to the maximum of a 6% employee contribution,"" said Julie Milan, a spokeswoman.      

Costco Wholesale Corp.: ""You've got to look at the entire (benefits) package, including very competitive wages and a generous health-benefits package for full and part-time employees. We also have made discretionary payments to the 401(k), and have since the mid-1990s,"" said Richard Galanti, chief financial officer.       

Whole Foods Market Inc.: ""In addition to our 401(k) plan, we offer benefits that our more than 80,000 Team Members have the opportunity to actually vote on, including paying only $0 to $15 per paycheck for health insurance premiums, and a broad based stock plan,"" said Mark Ehrnstein, global vice president of Team Member Services.   

Wynn Resorts Ltd.: ""Effective January 2014, we raised the cap and match to $750,"" said spokesman Michael Weaver.

Facebook Inc.: ""Although Facebook is a young company, we take a comprehensive approach to the benefits we offer all our people, which include a robust 401(k) match, as well as other retirement benefits,"" said Renee Whitney, benefits manager.

Spokesmen for Broadcom Corp., Nielsen NV, Amazon.com Inc. and Forest Laboratories declined to comment.","Bloomberg, firms' Form 5500 from Department of Labor, companies",2014-07-18
Most Sales in the Past Decade: Living Men Artists,7/7/2014,people,investing,Gerhard Richter,NA,TRUE,most-sales-in-the-past-decade-living-men-artists.csv,"Sales by Gerhard Richter, 82, were more than twice as much as Jeff Koons and Damien Hirst, who ranked second and third",NA,NA,NA,"Bloomberg ranked the top 20 living male artists based on sales of their works from January 1, 2004, through June 30, 2014.","Sales include buyers' premiums. Dual nationality artists, or those who spend their working life in one country and were born in another, are noted with their birthplace listed last. Artworks include paintings, prints, photography, sculptures, works on paper and installations. The percentage change in total sales from 2009 to 2013 is also shown to track sales from a year after the start of the financial crisis.",Artnet,2014-07-07
Most Sales in the Past Decade: Living Women Artists,7/7/2014,people,investing,Yayoi Kusama,NA,TRUE,most-sales-in-the-past-decade-living-women-artists.csv,"Painter, sculptor, filmmaker and performer Yayoi Kusama, 85, leads sales by living women artists",NA,NA,NA,"Bloomberg ranked the top 20 living women artists based on sales of their works from January 1, 2004, through June 30, 2014.","Sales include buyers' premiums. Dual nationality artists, or those who spend their working life in one country and were born in another, are noted with their birthplace listed last. Artworks include paintings, prints, photography, sculptures, works on paper and installations. The percentage change in total sales from 2009 to 2013 is also shown to track sales from a year after the start of the financial crisis.",Artnet,2014-07-07
Top Selling All Time: Women Artists,7/7/2014,people,investing,Joan Mitchell,NA,TRUE,top-selling-all-time-women-artists.csv,"Works by Joan Mitchell, the top-selling female artist, are up almost 200% since 2009",NA,NA,NA,"Bloomberg ranked the top 20 women visual artists based on sales of works from January 1, 1985, through June 30, 2014.","Sales include buyers' premiums. Dual-nationality artists, or those who spent their working life in one country and were born in another, are noted with their birthplace listed last. The percentage change in total sales from 2009 through 2013, is also shown, to track sales from a year after the start of the financial crisis. Artworks include paintings, prints, photographs, sculptures, works on paper, installations and designs.",Artnet,2014-07-07
Biggest Pay Increase for STEM Occupations: U.S. Metro Areas,7/2/2014,places,personal-finance,"Seattle-Bellevue-Everett, WA",NA,TRUE,biggest-pay-increase-for-stem-occupations-us-metro-areas.csv,"STEM professionals in Seattle have collected the biggest pay raises since 2008 among U.S. metro areas with at least 100,000 workers in science, technology, engineering and mathematics",NA,NA,NA,"Bloomberg ranked U.S. metropolitan areas with at least 100,000 STEM (science, technology, engineering and mathematics) professionals based on their pay increase since 2008.","STEM pay was calculated as the employment number-weighted annual median wage for the following three occupational groups from the Bureau of Labor Statistics Occupational Employment Statistics (BLS OES): Computer and Mathematical Occupations (15-0000); Architecture and Engineering Occupations (17-0000); and Life, Physical and Social Science Occupations (19-0000).",Bureau of Labor Statistics,2014-07-02
2014 Sushinomics - Most Expensive Basic Rolls: U.S. Cities,6/20/2014,places,personal-finance,"New York, NY",NA,TRUE,2014-sushinomics-most-expensive-basic-rolls-us-cities.csv,Bloomberg's 2014 Sushinomics Index shows the cost of living stayed relatively flat in most U.S. financial centers,NA,NA,NA,"Bloomberg ranked U.S. financial centers with Bloomberg bureaus based on the price of sushi, a proxy for the cost of living.","Bloomberg's DINE <GO>, supplemented by Zagat guides and Yelp, were used to identify the names of restaurants serving sushi in those cities. Prices for a California Roll and a Spicy Tuna Roll were averaged at each restaurant. (National chains, such as Benihana, were excluded.) The average price for the rolls was divided by last year's average, and then multiplied by last year's index value to determine the current value. Index value of 100 represents the national average from 2011, when we started the index.","Bloomberg, Zagat, Yelp",2014-06-20
2014 Sushinomics - Most Expensive Premium Rolls: U.S. Cities,6/20/2014,places,personal-finance,"Greenwich, CT",NA,TRUE,2014-sushinomics-most-expensive-premium-rolls-us-cities.csv,"Diners in Greenwich, Los Angeles and Boston pay most for premium sushi rolls",NA,NA,NA,"Bloomberg ranked U.S. financial centers with Bloomberg bureaus as well as popular hedge fund locations Greenwich and Stamford, CT, based on the difference between the premium sushi roll prices and $6.75, the price of the average basic roll for the entire sample.",Premium roll prices were the averages of the most and second-most expensive house special rolls at a sample of restaurants in these cities.,"Bloomberg, Zagat, Yelp",2014-06-20
Biggest 3-Year Projected Dividend Increases in U.S.: Companies,6/17/2014,companies,business,Vulcan Materials,NA,TRUE,biggest-3-year-projected-dividend-increases-in-u-dot-s-companies.csv,Most S&P 500 companies are projected to have dividend increases in the next three years. These 25 companies may show the biggest gains,NA,NA,"*The timing of FedEx's dividend payments means the projected 12-month dividend yield here includes only three dividend payments for the next 12 months. If a fourth is included the projected 12-month yield rises to 0.58 percent.
**The timing of Avago's dividend payments means the projected 12-month yield here includes only three dividend payments for the next 12 months. If a fourth is included the projected yield rises to 1.92 percent.",Bloomberg ranked S&P 500 companies based on their three-year projected dividend growth as forecast by Bloomberg analysts.,"The top 25 were among 350 S&P companies expected to increase dividends over three years. Excludes companies with dividends of less than 5 cents and companies for which trailing 12-month dividends, which are required to calculate projected three-year growth, were unavailable.",Bloomberg,2014-06-17
Benefitting Most from Marijuana: Stocks,6/16/2014,investments,investing,Tranzbyte,NA,TRUE,benefitting-most-from-marijuana-stocks.csv,"Most companies that grow, dispense or finance legal marijuana have posted triple-digit stock gains in 2014",NA,NA,NA,"Bloomberg ranked publicly traded companies identified in news reports, press releases and other public records as involved in the legalized marijuana business based on their returns from December 31, 2013, through June 13, 2014.","One-year returns are also provided--except for Advanced Cannabis Solutions, formerly Promap, which began trading under its new name on October 22, 2013--as well as market capitalizations and descriptions of each company's business.",Bloomberg,2014-06-16
Gender-Pay Ratios by Education: Congressional Districts,6/5/2014,places,personal-finance,"Utah, 3 - Jason Chaffetz (R)",NA,TRUE,gender-pay-ratios-by-education-congressional-districts.csv,"The highest-earning males with graduate degrees are in hedge-fund country (CT 4), averaging $133,667 per year, while females do best in Silicon Valley (CA 17, 18, 19), with median pay topping out at $80,317",NA,NA,*Nonvoting member of the House of Representatives,"Bloomberg ranked congressional districts of the 113th Congress by their overall level of gender-pay inequality, which was measured by the male-to-female earnings multiple (median earnings for males divided by median earnings for females) for workers of all educational levels--ranging from those without high school degrees to holders of advanced degrees.","Male-to-female earnings ratios were also calculated for holders of undergraduate and graduate degrees. Median earnings, in 2012 inflation-adjusted dollars, are for those ages 25 and older.",U.S. Census; U.S. House of Representatives,2014-06-05
Most Expensive Tesla Model S: Countries,6/3/2014,places,personal-finance,China,NA,TRUE,most-expensive-tesla-model-s-countries.csv,"A Tesla Model S is $40,000 more expensive in China than in the U.S.",NA,http://www.bloomberg.com/slideshow/2014-06-09/where-teslas-cost-the-most.html,NA,"Bloomberg ranked countries for which Tesla Motors provides pricing information based on the retail price of a Model S, 60 kWh-battery car.","Where applicable, prices include value-added tax, delivery fees, registration fees and documentation fees. Sales taxes and local and regional taxes are not included. Prices include national grants/credits; in the United States and Canada, some states and provinces offer additional grants/credits. Australia's price is for the Australian Capital Territory. Prices in other Australian territories are higher. Prices in local currency were converted to USD based on start-of-day exchange rates on June 3, 2014.",Tesla Motors,2014-06-03
World Hotel Index: Cities,5/30/2014,places,economics,"Geneva, Switzerland",NA,TRUE,world-hotel-index-cities.csv,A hotel room in Geneva costs five times more than a room in Hanoi,NA,http://www.bloomberg.com/news/2014-05-30/geneva-dubai-rank-as-priciest-cities-in-world-for-hotels.html,NA,"Bloomberg ranked global cities based on the average daily cost of hotels, regardless of star ratings, for two adults in a double-occupancy room.","To qualify for the ranking, cities had to be among the U.N.'s 30 largest Urban Agglomerations, the headquarters of at least 10 public companies, each with at least $1 billion in market capitalization, in finance, health care and IT; or have a Bloomberg international bureau (a proxy for financial services hub). They all have at least 50 hotels 3-star and above. To account for holiday, promotion and convention-related pricing, the average daily price was based on two blocks of time, six months apart: August 1 to August 10, 2014, and February 1 through February 10, 2015. The 5-star price is shown if there were at least 10 hotels available for booking in that category; 50 hotels was the minimum to show 3-star prices. Expedia, which was used to identify hotels, describes 5-star hotels as typically having such amenities as gourmet dining, luxury spas, full-service health clubs with personal trainers, signature golf courses, and tennis centers with choice of playing surfaces, luxurious spas, oversized bathrooms, cultural activities and children's day camps. Staff members are generally polished, anticipate guest needs and consistently address guests by name. Guest-room decor is often elegant and may include bedside controls for drapes, lighting, and surround-sound. Three-star properties, according to Expedia, usually offer an on-site restaurant and bar and baggage assistance. Guest rooms typically feature comfortable seating and high-quality bedding. Bathrooms often have shower/tub combinations and expanded counter space. Data were collected from May 1, 2014, to May 9, 2014. Costs in local currency were converted by the IMF purchasing power parity rates for 2014 and the midpoint of 3-month and 9-month forward rates which were recorded as of Friday, May 9, 2014. Average hotel prices were rounded.","Bloomberg, Expedia.com, International Monetary Fund, United Nations",2014-05-30
Best in U.S. Tech for Pay and Benefits: Companies,5/23/2014,companies,personal-finance,Google,NA,NA,best-in-us-tech-for-pay-and-benefits-companies.csv,"Google, Facebook and Adobe are tops in tech on compensation and benefits, while private software company Epic Systems is fourth",NA,NA,NA,"Bloomberg ranked the top 20 technology companies headquartered in the U.S. based on an anonymous survey of employees by Glassdoor, an online database of six  million company reviews.","Employees were asked how satisfied they were with the compensation and benefits offered by their employers. Ratings were based on a 5-point scale, with 4.01 to 5.00 being most satisfied. To qualify for the ranking, companies needed at least 75 ratings from current and former U.S.-based employees between April 10, 2013, and April 9, 2014, at least 25 ratings between April 10, 2012, and April 9, 2013, and an overall compensation and benefits rating of at least 2.51 in both periods.",Glassdoor,2014-05-23
Highest-Paid Software Engineers: Countries,5/22/2014,places,personal-finance,Pakistan,NA,TRUE,highest-paid-software-engineers-countries.csv,Pakistani software engineers earn almost six times more than the average worker in their country,NA,NA,NA,Bloomberg ranked countries based on the ratio of median pay for software engineers to GDP per capita.,"Included are the 50 countries for which data was most available over the past year to PayScale. Figures represent income data collected from May 1, 2013, to May 1, 2014, and use midmarket exchange rates from May 5, 2014. Average income (GDP per capita) figures are for 2014. Pay includes base annual salary or hourly wage, bonuses, profit sharing, tips, commissions and other forms of cash earnings as applicable. Equity (stock) compensation, cash value of retirement benefits or the value of other noncash benefits (e.g. health care) are not included. The median years of work experience for survey respondents from each country range from two to five years.","PayScale, International Monetary Fund",2014-05-22
Fastest-Growing: U.S. Cities,5/22/2014,places,economics,"San Marcos, TX",NA,TRUE,fastest-growing-us-cities.csv,Ten of the 25 fastest-growing cities are in Texas,NA,NA,NA,Bloomberg ranked U.S. cities based on the percentage change in population from 2012 to 2013 and identified the 25 cities with the greatest growth.,"Only cities with at least 50,000 residents as of 2013 were included. Population estimates were as of July 1 each year. Data were rounded.",U.S. Census,2014-05-22
Fastest-Shrinking: U.S. Cities,5/22/2014,places,economics,"Valdosta, GA",NA,TRUE,fastest-shrinking-us-cities.csv,Detroit and other Michigan cities continue to lose population,NA,NA,NA,Bloomberg ranked U.S. cities based on the percentage change in population from 2012 to 2013 and identified the 25 that were shrinking the most.,"Only cities with at least 50,000 residents as of 2013 were included. Population estimates were as of July 1 each year. Data were rounded.",U.S. Census,2014-05-22
