monthYear,filename,x_network,y_network,component,class,walktrap_group,title,updated,entity,topic,winner,is_new,is_pick,subhead,related_suid,related_link,footnotes,overview,methodology,sources,data_updated,month,year,day,timeRow,timeCol,timeStack
2-2013,highest-passive-earners-us-cities.csv,0.8624327237792577,4.238585602280507,2,2_261,3,Highest Passive Earners: U.S. Cities,2013-02-25,places,personal-finance,"San Francisco-Oakland-Fremont, CA",NA,NA,"San Francisco, Miami are the best cities to collect income without working",NA,NA,NA,Bloomberg ranked U.S. metropolitan statistical areas (MSAs) on passive income per capita.,"The universe consisted of 51 MSAs with at least 1 million residents. Passive income is personal income from dividends, interest and rent. Per capita income figures were rounded to the nearest dollar.","Bureau of Economic Analysis, U.S. Census ACS 5-Year Estimates",2013-02-25,2,2013,25,2,2,4
2-2013,most-money-going-to-home-improvement-us-cities.csv,-0.9865749991598739,-2.5410443591927683,2,2_261,3,Most Money Going to Home Improvement: U.S. Cities,2013-02-25,places,business,"Phoenix, AZ",NA,NA,Phoenix homeowners spend the most on home improvement in the U.S.,NA,NA,NA,Bloomberg ranked U.S. cities on average per-owner spending on home improvement.,The 50 most populous metropolitan areas were considered. Data were from 2011.,Joint Center for Housing Studies of Harvard University,2013-02-25,2,2013,25,1,3,5
3-2013,biggest-boomtowns-us-cities.csv,3.211272507600838,1.3271885412015734,2,2_261,8,Biggest Boomtowns: U.S. Cities,2013-03-07,places,economics,"Austin-Round Rock, TX",NA,NA,"Austin-Round Rock, TX, shows the best combination of population and GDP growth in U.S.",NA,NA,NA,"Bloomberg ranked 360 metropolitan statistical areas (MSAs)  on their  population and real GDP growth from 2007 to 2011, singling out 25 MSAs that showed an increase in both.","MSAs were ranked on population growth and real GDP compound annual growth and given a corresponding point score of 1 to 100 in each factor. The scores were added together and were divided by the highest possible total to create the score. Included MSAs with at least 1 million residents as of 2011. Census population estimates were as of July 1, 2007, and July 1, 2011.","U.S. Bureau of Economic Analysis, U.S. Census",2013-03-07,3,2013,7,1,1,1
3-2013,greatest-concentration-of-senior-poverty-states.csv,4.2741130723766645,3.6237962753580413,2,2_261,8,Greatest Concentration of Senior Poverty: States,2013-03-15,places,economics,North Dakota,NA,NA,Ninety-five percent of North Dakotans living in poverty are 65 or older,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their concentration of senior poverty.,Three equally weighted criteria were used to create this ranking: the number of seniors (ages 65+) living in poverty as a percentage of the total population living in poverty; senior poverty as a percentage of the working-age (15-64) population; and senior poverty as a percentage of the state's total population. States were ranked in each factor--with 1 indicating the highest percentage of poverty--and  the three ranks were averaged to determine the order.,"U.S. Census, Administration on Aging (U.S. Department of Health & Human Services), Measure of America: A Project of the Social Science Research Council, Centers for Disease Control and Prevention",2013-03-15,3,2013,15,2,1,2
3-2013,longest-retirements-states.csv,6.705478299557353,3.758394617425067,2,2_261,2,Longest Retirements: States,2013-03-15,places,lifestyle,Hawaii,NA,NA,Hawaiians and Minnesotans live longest after retiring,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on their average life expectancy postretirement.,"""Sunset years"" refer to life expectancy postretirement. Sunset years were calculated for each state by subtracting an assumed retirement age of 65 from the average life expectancy for men and women. States were ranked by their gender ratio-weighted average.
",U.S. Census; U.S. Department of Health & Human Services' Administration on Aging; Measure of America project of the Social Science Research Council; Centers for Disease Control and Prevention,2013-03-15,3,2013,15,1,2,3
3-2013,most-seniors-states.csv,5.132424561019278,1.6066904322424962,2,2_261,8,Most Seniors: States,2013-03-15,places,lifestyle,California,NA,NA,California has almost 80 times more senior citizens than Alaska,NA,NA,NA,Bloomberg ranked U.S. states and the District of Columbia on the size of their senior (65+) population,NA,"U.S. Census, U.S. Health & Human Services Administration on Aging, Measure of America project of the Social Science Research Council, Centers for Disease Control and Prevention",2013-03-15,3,2013,15,2,2,4
3-2013,biggest-increase-in-number-of-brewers-states.csv,-1.982750693966062,-1.400428677216719,2,2_261,1,Biggest Increase in Number of Brewers: States,2013-03-20,places,business,California,NA,NA,California boasts both the highest number of brewers and the biggest increase since 2011,MLTTJG6TTDU701,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the increase in number of permitted brewers from 2011 to 2012.,Permitted brewers refer to manufacturers that have completed the appropriate paperwork and obtained the necessary permits to operate though they may not be fully operational yet.,"Beer Institute, Alcohol and Tobacco Tax and Trade Bureau",2013-03-20,3,2013,20,1,3,5
3-2013,priciest-places-to-wed-us-cities.csv,0.5047846239954636,1.782715809608973,2,2_261,3,Priciest Places to Wed: U.S. Cities,2013-03-21,places,personal-finance,"New York, NY (Manhattan)",NA,NA,"Manhattan weddings, already the costliest in the U.S., are getting even more expensive",NA,NA,NA,Bloomberg ranked U.S. places on the increase in the average wedding budget from 2011 to 2012.,The universe was limited to the 20 costliest places in the U.S. for weddings in 2012. Northern California was included in 2011 data for San Francisco.,"The Knot, Inc. Real Weddings Survey",2013-03-21,3,2013,21,2,3,6
3-2013,greatest-growth-in-coal-production-states.csv,5.890611188513577,1.9986215011101107,2,2_261,8,Greatest Growth in Coal Production: States,2013-03-29,places,business,Wyoming,NA,NA,Western states' change in coal production has outpaced that of Appalachian states,NA,NA,NA,Bloomberg ranked the U.S. states on change in coal production from 1987 to 2012.,Included were states that produced at least 10 million short tons of coal in 2012.,U.S. Energy Information Administration,2013-03-29,3,2013,29,1,4,7
3-2013,most-volunteers-states.csv,11.331712415652246,0.1173948411215293,2,2_261,25,Most Volunteers: States,2013-03-30,places,lifestyle,Utah,NA,TRUE,Utah and Idaho have the highest volunteer rates in the U.S.,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the volunteer rates of their residents in 2011.,"The volunteer rate was estimated from the survey population based on the latest U.S. Census data. The rate was calculated as the percentage of respondents 16 or older who performed unpaid volunteer activities through or for an organization during the 12-month survey year. The value of volunteering was calculated by multiplying the estimated value of a volunteer hour, $21.79, according to Volunteering and Civic Life in America, by the total number of volunteer hours for each state.",Volunteering and Civic Life in America (volunteeringinamerica.gov),2013-03-30,3,2013,30,2,4,8
3-2013,fewest-female-top-executives-states.csv,2.1116039100972386,3.305986508039485,2,2_261,3,Fewest Female Top Executives: States,2013-03-31,places,business,Arkansas,NA,NA,Deep South is devoid of female executives,NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the percentage of female workers employed as top executives in 2011.,"Year-round and full-time male and female civilian workers 16 years of age and older were considered. Top executives include chief executives, general and operations managers and legislators.",U.S. Census 2011 American Community Survey 3-Year Estimates,2013-03-31,3,2013,31,1,5,9
3-2013,highest-electricity-production-countries.csv,-5.102130367006012,-5.467076231419411,2,2_261,13,Highest Electricity Production: Countries,2013-03-31,places,economics,United States,NA,NA,United States leads the world in electricity production with China a close second,NA,NA,NA,"Bloomberg ranked countries on their total electricity production, and calculated the percentage of total production attributable to each power source.","Renewable refers to electricity production from  geothermal, solar, tides, wind, biomass and biofuels, excluding hydroelectric.",World Bank,2013-03-31,3,2013,31,2,5,10
4-2013,most-efficient-companies.csv,-4.423973072456337,-1.4061034077054113,2,2_261,4,Most Efficient: Companies,2013-04-03,companies,business,Mueller Industries,NA,TRUE,"PPG, Interpublic among companies that grew profit margins faster than sales",NA,NA,NA,Bloomberg ranked S&P 1500 companies on their ratio of margin growth to sales growth.,"To be included, companies had to have positive sales and profit margins and positive sales and profit margin growth for the last five years. Companies with sales or margin growth rates of less than 1 or greater than 100 were excluded. In addition, profit margin growth had to be greater than sales growth. Growth was calculated using the least squares method from the latest available five years of data. All data were for companies' 2008 to 2012 fiscal years, except for Finish Line, Home Depot and Williams-Sonoma, which were ranked on their 2009 to 2013 fiscal years.",Bloomberg,2013-04-03,4,2013,3,1,1,1
4-2013,highest-pay-for-tech-jobs-states.csv,-0.08610882888741318,9.063412091811353,2,2_261,20,Highest Pay for Tech Jobs: States,2013-04-08,places,business,District of Columbia,NA,NA,"Jobs in science, technology, engineering and math pay about 64% more than the average occupation",NA,NA,NA,"Bloomberg ranked U.S. states and the District of Columbia based on pay for jobs related to science, technology, engineering and mathematics.","Pay for STEM (science, technology, engineering and math) jobs was calculated as the employment number-weighted average annual wage of the following three occupational groups from the Bureau of Labor Statistics Occupational Employment Statistics (BLS OES): Computer and Mathematical Occupations (15-0000); Architecture and Engineering Occupations (17-0000); and Life, Physical and Social Science Occupations (19-0000). Only jobs with at least 100 employees were considered when identifying the highest-paid STEM occupation.",Bureau of Labor Statistics,2013-04-08,4,2013,8,2,1,2
4-2013,greatest-growth-in-jobs-for-techies-states.csv,-0.8448366862753868,9.055810590007518,2,2_261,20,Greatest Growth in Jobs for Techies: States,2013-04-08,places,personal-finance,California,NA,NA,"California, Texas, Virginia post biggest gain in STEM jobs",NA,NA,NA,"Bloomberg ranked the U.S. states and the District of Columbia on their increase in science, technology, engineering and mathematics (STEM) professionals between 2001 and 2012.","BLS data were used to identify states with the biggest gains and biggest share of STEM professionals. STEM numbers are aggregated totals of three major occupational groups from Bureau of Labor Statistics Occupational Employment Statistics (BLS OES): Computer and Mathematical Occupations (15-0000); Architecture and Engineering Occupations (17-0000); and Life, Physical and Social Science Occupations (19-0000).",Bureau of Labor Statistics Occupational Employment Statistics,2013-04-08,4,2013,8,1,2,3
4-2013,most-profitable-employees-companies.csv,-4.447384506071096,0.9454165303256353,2,2_261,4,Most Profitable Employees: Companies,2013-04-09,companies,business,InterDigital,NA,NA,"InterDigital, Rosetta Resources top list of companies with highest net income per employee",NA,NA,NA,Bloomberg ranked companies in the S&P 1500 based on net income per employee.,"To determine net income per employee, each company's latest available net income was divided by its number of employees for the same period. Included companies with 2012 or 2013 fiscal-year data available. Excluded real estate investment trusts and companies with fewer than 100 employees.",Bloomberg,2013-04-09,4,2013,9,2,2,4
4-2013,most-tax-revenue-from-alcohol-tobacco-betting-states.csv,-12.134022164630471,-7.61069840725825,2,2_261,9,"Most Tax Revenue from Alcohol, Tobacco, Betting: States",2013-04-16,places,personal-finance,Texas,NA,NA,"Texas receives more tax money from ""sin"" than any other state",NA,NA,NA,"Bloomberg ranked states based on the 2012 U.S. Census survey of State Government Tax Collections from sales and gross receipts for alcohol, tobacco and pari-mutuels.","Pari-mutuels include tax revenue measured by amounts wagered or bet on such activities as horseracing, dog racing and Jai-alai and excludes taxes on racetrack admissions and licenses. Statistics were for state government fiscal years ending on June 30, 2012 except for Alabama and Michigan (September 30), New York (March 31) and Texas (August 31). West Virginia's figure for alcohol was an estimate for taxes collected on sales of alcoholic beverages by private businesses, calculated by subtracting taxes from state-run liquor sales from total taxes collected from liquor sales, according to the census.",U.S. Census,2013-04-16,4,2013,16,1,3,5
4-2013,longest-commutes-us-cities.csv,-1.7126913582269578,-1.0634817884894088,2,2_261,3,Longest Commutes: U.S. Cities,2013-04-22,places,lifestyle,"New York, NY",NA,NA,Almost one-third of New York City workers travel at least an hour to get to their jobs,NA,NA,NA,Bloomberg ranked U.S. cities with available data on travel time from home to work.,"U.S. cities with at least 250,000 workers who do not work at home were ranked on two factors: the percentage of workers 16 years of age and older whose commute from home to work was greater than 60 minutes; and the average commuting time. They were given a corresponding point score from 0 to 100 on each factor. The ranks were summed and divided by the highest possible total to determine the final commuting score.",U.S. Census 2011 ACS 5-year Estimates,2013-04-22,4,2013,22,2,3,6
4-2013,wealthiest-retired-residents-us-cities.csv,4.652469646421248,10.232567239257465,2,2_261,7,Wealthiest Retired Residents: U.S. Cities,2013-04-23,places,lifestyle,"Crows Nest, IN",NA,NA,"Crows Nest, Indiana, is home to some of the wealthiest retirees in the U.S.",NA,NA,NA,Bloomberg ranked U.S. cities on average annual household retirement income,"Places with less than $75,000 in average household retirement income, median home values less than $500,000 and fewer than 100 residents were excluded. Retirement incomes include retirement pensions, survivor benefits or disability income from an employer, labor union, federal, state, or local government or the U.S. military; periodic receipts from annuities and insurance; and regular income from IRA and Keogh plans. Retirement income does not include Social Security.",U.S. Census ACS 2007-2011 5-Year Estimates,2013-04-23,4,2013,23,1,4,7
4-2013,highest-showbiz-pay-states.csv,-0.3687377875342908,10.689213769120043,2,2_261,20,Highest Showbiz Pay: States,2013-04-23,places,business,California,NA,NA,"Actors earn the most in Hawaii, while California is most lucrative for film and video editors",NA,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on 2002-2012 average composite pay for four representative show-business occupations.,"State-by-state and year-by-year detailed data for the four occupations (actor, audio and video equipment technician, camera operator and film/video editor) were extracted from annual releases put out by the Bureau of Labor Statistics' Occupational Employment Statistics.  To come up with composite pay for each state, the ten-year average hourly wage for every occupation was calculated and averaged for the four occupations each year.",Bureau of Labor Statistics' Occupational Employment Statistics,2013-04-23,4,2013,23,2,4,8
4-2013,most-showbiz-jobs-states.csv,-0.404429752324733,11.819707852543678,2,2_261,20,Most Showbiz Jobs: States,2013-04-23,places,economics,California,NA,NA,New Mexico has the highest concentration of actors,MLTTJG6TTDU701,NA,NA,Bloomberg ranked the U.S. states and the District of Columbia on the 2002-2012 average composite job concentration of four representative show-business occupations.,"Job concentration levels were calculated by summing the number of showbiz jobs (actor, audio and video equipment technician, camera operator and film/video editor) per 10,000 jobs in each state.",Bureau of Labor Statistics' Occupational Employment Statistics,2013-04-23,4,2013,23,1,5,9
5-2013,most-worried-about-by-aging-rich-people-concerns.csv,-1.9121142986531623,8.840361988630267,2,2_261,3,Most Worried About by Aging Rich People: Concerns,2013-05-01,other,lifestyle,Memory,NA,NA,Young rich people fear losing memory and gaining weight as they age,NA,NA,NA,"Bloomberg ranked aging concerns of rich people by age group and by gender, and highlighted the 15 biggest worries of people ages 30-44.","Data came from a Luxury Institute poll of 589 consumers in the U.S. with a minimum gross annual income of at least $150,000. The survey, completed in the first quarter of 2012, concentrated on aging concerns and the use of anti-aging regimens.",Luxury Institute,2013-05-01,5,2013,1,1,1,1
