title,updated,entity,topic,winner,is_new,is_pick,filename
Priciest Suites at NFL Games: Teams,9/12/2014,other,lifestyle,San Francisco 49ers,,TRUE,priciest-suites-at-nfl-games-teams.csv
Most Crowded in 2025: Global Cities,9/12/2014,places,lifestyle,"Hong Kong SAR, China",,TRUE,most-crowded-in-2025-global-cities-1.csv
Costliest Insured Losses 1970 to 2013: Catastrophes,9/1/2014,other,business,"Hurricane Katrina; storm surge, levee failure, damage to oil rigs",,TRUE,costliest-insured-losses-1970-to-2013-catastrophes.csv
Biggest Spenders in Casinos: States,8/25/2014,places,business,Nevada,,TRUE,biggest-spenders-in-casinos-states.csv
Most Efficient Health Care 2014: Countries,8/25/2014,places,lifestyle,Singapore,,TRUE,most-efficient-health-care-2014-countries.csv
Priciest of All Time: Classic Cars,8/25/2014,investments,investing,250 GTO Berlinetta (Ferrari),,TRUE,priciest-of-all-time-classic-cars.csv
Women in the S&P 500: CEOs,8/20/2014,people,business,Barbara Rentler,,TRUE,women-in-the-s-p-500-ceos.csv
Where Hipsters Live: U.S. Metro Areas,8/19/2014,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,TRUE,where-hipsters-live-u-s-metro-areas.csv
Booming Hipster Neighborhoods: U.S. Metro Areas,8/19/2014,places,lifestyle,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,TRUE,booming-hipster-neighborhoods-u-s-metro-areas.csv
Most Bicycle Commuters: U.S. Cities,8/19/2014,places,lifestyle,"Portland, OR",,TRUE,most-bicycle-commuters-u-s-cities.csv
Most Wanted Unidentified Bank Robbers: States,8/19/2014,places,politics-and-policy,New Mexico,,TRUE,most-wanted-unidentified-bank-robbers-states.csv
Most Loved: Stocks,8/18/2014,investments,investing,LKQ,,TRUE,most-loved-stocks.csv
Most Hated: Stocks,8/18/2014,investments,investing,TW Telecom,,TRUE,most-hated-stocks.csv
Highest Concentration in U.S. and Metro Areas: Ancestries,7/30/2014,people,lifestyle,German,,TRUE,highest-concentration-in-u-s-and-metro-areas-ancestries.csv
Biggest Projected Reduction in Emissions by 2030: States,7/28/2014,places,business,Maine,,TRUE,biggest-projected-reduction-in-emissions-by-2030-states.csv
Most Expensive Droughts: States,7/28/2014,places,economics,Texas,,TRUE,most-expensive-droughts-states-1.csv
Most Popular Among Billionaires: Colleges,7/24/2014,schools,education,Dropped out,,TRUE,most-popular-among-billionaires-colleges.csv
Best 401(k) Plans: Companies,7/18/2014,companies,business,ConocoPhillips,,TRUE,best-401-k-plans-companies.csv
Most Sales in the Past Decade: Living Men Artists,7/7/2014,people,investing,Gerhard Richter,,TRUE,most-sales-in-the-past-decade-living-men-artists.csv
Most Sales in the Past Decade: Living Women Artists,7/7/2014,people,investing,Yayoi Kusama,,TRUE,most-sales-in-the-past-decade-living-women-artists.csv
Top Selling All Time: Women Artists,7/7/2014,people,investing,Joan Mitchell,,TRUE,top-selling-all-time-women-artists.csv
Biggest Pay Increase for STEM Occupations: U.S. Metro Areas,7/2/2014,places,personal-finance,"Seattle-Bellevue-Everett, WA",,TRUE,biggest-pay-increase-for-stem-occupations-us-metro-areas.csv
2014 Sushinomics - Most Expensive Basic Rolls: U.S. Cities,6/20/2014,places,personal-finance,"New York, NY",,TRUE,2014-sushinomics-most-expensive-basic-rolls-us-cities.csv
2014 Sushinomics - Most Expensive Premium Rolls: U.S. Cities,6/20/2014,places,personal-finance,"Greenwich, CT",,TRUE,2014-sushinomics-most-expensive-premium-rolls-us-cities.csv
Biggest 3-Year Projected Dividend Increases in U.S.: Companies,6/17/2014,companies,business,Vulcan Materials,,TRUE,biggest-3-year-projected-dividend-increases-in-u-dot-s-companies.csv
Benefitting Most from Marijuana: Stocks,6/16/2014,investments,investing,Tranzbyte,,TRUE,benefitting-most-from-marijuana-stocks.csv
Gender-Pay Ratios by Education: Congressional Districts,6/5/2014,places,personal-finance,"Utah, 3 - Jason Chaffetz (R)",,TRUE,gender-pay-ratios-by-education-congressional-districts.csv
Most Expensive Tesla Model S: Countries,6/3/2014,places,personal-finance,China,,TRUE,most-expensive-tesla-model-s-countries.csv
World Hotel Index: Cities,5/30/2014,places,economics,"Geneva, Switzerland",,TRUE,world-hotel-index-cities.csv
Best in U.S. Tech for Pay and Benefits: Companies,5/23/2014,companies,personal-finance,Google,,,best-in-us-tech-for-pay-and-benefits-companies.csv
Highest-Paid Software Engineers: Countries,5/22/2014,places,personal-finance,Pakistan,,TRUE,highest-paid-software-engineers-countries.csv
Fastest-Growing: U.S. Cities,5/22/2014,places,economics,"San Marcos, TX",,TRUE,fastest-growing-us-cities.csv
Fastest-Shrinking: U.S. Cities,5/22/2014,places,economics,"Valdosta, GA",,TRUE,fastest-shrinking-us-cities.csv
Most Poverty: U.S. Cities,5/20/2014,places,personal-finance,"Detroit, MI",,TRUE,most-poverty-us-cities.csv
Most Financing: Cloud Companies,5/19/2014,companies,investing,Cloudera,,TRUE,most-financing-cloud-companies.csv
Fewest Females in the 1% Club: States,5/12/2014,places,personal-finance,South Dakota,,TRUE,fewest-females-in-the-1-percent-club-states.csv
Most Happiness per Dollar: Countries,5/12/2014,places,lifestyle,Israel,,,most-happiness-per-dollar-countries.csv
Biggest Underwriters of Green Bonds: Investment Banks,5/9/2014,companies,business,Skandinaviska Enskilda Banking Group,,TRUE,biggest-underwriters-of-green-bonds-investment-banks.csv
Most Raised Through Green Bonds: Issuers,5/9/2014,companies,investing,World Bank: International Finance,,TRUE,most-raised-through-green-bonds-issuers.csv
Lowest Paid in Tech: CEOs,5/7/2014,people,business,Larry Page,,TRUE,lowest-paid-in-tech-ceos.csv
Fewest Minorities in the 1% Club: States,5/5/2014,places,personal-finance,District of Columbia,,TRUE,fewest-minorities-in-the-1-percent-club-states.csv
Biggest Gain in Global Art Sales: Auction Houses,5/5/2014,companies,business,Koller Auktionen Zurich,,TRUE,biggest-gain-in-global-art-sales-auction-houses.csv
Biggest Decline in Global Art Sales: Auction Houses,5/5/2014,companies,business,Camard,,TRUE,biggest-decline-in-global-art-sales-auction-houses.csv
Most Fine Art Sold in a Decade: Auction Houses,5/5/2014,companies,business,Christie's New York,,TRUE,most-fine-art-sold-in-a-decade-auction-houses.csv
Fastest-Growing in Emerging-Market Tech: Companies,4/29/2014,companies,business,Digital China Information Service,,TRUE,fastest-growing-in-emerging-market-tech-companies.csv
Most Income Inequality: U.S. Cities,4/15/2014,places,personal-finance,"Atlanta, GA",,TRUE,most-income-inequality-us-cities.csv
Most Income Inequality: U.S. Metro Areas,4/15/2014,places,personal-finance,"Bridgeport-Stamford-Norwalk, CT",,TRUE,most-income-inequality-us-metro-areas.csv
Global Cities Index: Cities,4/13/2014,places,business,New York,,TRUE,global-cities-index-cities.csv
Largest Private Equity-Backed IPOs: Stocks,4/11/2014,companies,investing,Plains GP,,TRUE,largest-private-equity-backed-ipos-stocks.csv
Biggest Infrastructure Need: States,4/10/2014,places,economics,West Virginia,,TRUE,biggest-infrastructure-need-states.csv
Fattest Metro Areas: U.S. Cities,4/9/2014,places,lifestyle,"Huntington-Ashland, WV-KY-OH",,TRUE,fattest-metro-areas-us-cities.csv
Biggest Tax-Free Shopping Destinations: Global Cities,4/7/2014,places,lifestyle,Paris,,,biggest-tax-free-shopping-destinations-global-cities.csv
Biggest Tax-Free Spenders: Countries,4/7/2014,places,lifestyle,China,,,biggest-tax-free-spenders-countries.csv
Greenest Commuters: U.S. Cities,3/31/2014,places,lifestyle,"San Francisco-Oakland-Fremont, CA",,TRUE,greenest-commuters-us-cities.csv
Biggest Tax Refunds: States,3/31/2014,places,personal-finance,Mississippi,,,biggest-tax-refunds-states.csv
Easiest Access to Alcohol for College Students: U.S. Counties,3/28/2014,places,lifestyle,"Berkshire County, MA",,TRUE,easiest-access-to-alcohol-for-college-students-us-counties.csv
Most Eateries per Capita: U.S. Cities,3/27/2014,places,lifestyle,"San Francisco-Oakland-Fremont, CA",,TRUE,most-eateries-per-capita-us-cities.csv
Fifteen Largest Video Game IPOs: Stocks,3/26/2014,companies,business,Zynga,,TRUE,fifteen-largest-video-game-ipos-stocks.csv
Lowest Percentage of Minimum-Wage Workers: States,3/26/2014,places,personal-finance,Oregon,,TRUE,lowest-percentage-of-minimum-wage-workers-states.csv
The Brita IndexÃ¢â‚¬â€Highest Cost of Safe Water: Countries,3/25/2014,places,economics,Ukraine,,TRUE,the-brita-index-highest-cost-of-safe-water-countries.csv
Ukraine's Biggest Trading Partners: Countries,3/24/2014,places,business,Russia,,,ukraines-biggest-trading-partners-countries.csv
Most Organic Farmland: Countries,3/13/2014,places,economics,Australia,,,most-organic-farmland-countries.csv
Highest Salaries for Experienced Teachers: Countries,3/11/2014,places,personal-finance,Luxembourg,,TRUE,highest-salaries-for-experienced-teachers-countries.csv
Attracting Most Money: Clean-Energy Technology,3/10/2014,other,economics,Solar,,TRUE,attracting-most-money-clean-energy-technology.csv
Most Expensive at Auction: Vintage Watches,3/10/2014,other,investing,Patek Philippe Ref. 1415 World Time,,TRUE,most-expensive-at-auction-vintage-watches.csv
Most People w/ Disposable Income of USD 200K+: Countries,3/10/2014,places,personal-finance,Australia,,TRUE,most-people-w-slash-disposable-income-of-usd-200k-plus-countries.csv
Most Twitter Cash Tags: Companies,3/4/2014,companies,business,Apple,,TRUE,most-twitter-cash-tags-companies.csv
Greatest Growth in Home Prices: U.S. Neighborhoods,3/4/2014,places,economics,Battery Park,,TRUE,greatest-growth-in-home-prices-us-neighborhoods.csv
Highest Rents Paid by Retailers: Shopping Locations,3/3/2014,places,economics,Causeway Bay,,TRUE,highest-rents-paid-by-retailers-shopping-locations.csv
Highest Retail Rents by Country: Shopping Locations,3/3/2014,places,economics,Causeway Bay,,TRUE,highest-retail-rents-by-country-shopping-locations.csv
Highest Minimum Wage: Countries,2/26/2014,places,personal-finance,Luxembourg,,,highest-minimum-wage-countries.csv
Highest Grossing Best Picture Winners Since 1978: Movies,2/24/2014,other,business,Titanic,,,highest-grossing-best-picture-winners-since-1978-movies.csv
Highest Grossing Best Visual Effects Winners: Movies,2/24/2014,other,business,Titanic,,,highest-grossing-best-visual-effects-winners-movies.csv
Most Expensive Home Prices: U.S. Neighborhoods,2/24/2014,places,economics,Pacific Palisades,,,most-expensive-home-prices-us-neighborhoods.csv
Least Upwardly Mobile for Fast-Food Workers: U.S. Cities,2/20/2014,places,economics,"Miami-Fort Lauderdale-Pompano Beach, FL",,TRUE,least-upwardly-mobile-for-fast-food-workers-us-cities.csv
Longest Marriages: States,2/18/2014,places,lifestyle,South Dakota,,TRUE,longest-marriages-states.csv
Most Never-Marrieds: States,2/18/2014,places,lifestyle,District of Columbia,,TRUE,most-never-marrieds-states.csv
Most Vehicle Thefts: States,2/14/2014,places,lifestyle,District of Columbia,,TRUE,most-vehicle-thefts-states.csv
Most Expensive iPhones in the World: Countries,2/12/2014,places,economics,Brazil,,TRUE,most-expensive-iphones-in-the-world-countries.csv
Most Drunks: States,2/12/2014,places,lifestyle,District of Columbia,,TRUE,most-drunks-states.csv
Most Brewery Permits: States,2/12/2014,places,business,California,,,most-brewery-permits-states.csv
Greatest Growth in World Oil Production: Countries,2/11/2014,places,business,United States,,TRUE,greatest-growth-in-world-oil-production-countries.csv
Highest Income: U.S. Counties,2/10/2014,places,economics,"Loudoun County, VA",,,highest-income-us-counties.csv
Highest Per Capita Income: U.S. Places,2/10/2014,places,economics,"Jupiter Island, FL",,,highest-per-capita-income-us-places.csv
Most Prisoners: States,2/6/2014,places,economics,Texas,,TRUE,most-prisoners-states.csv
Most Government Debt per Person: Countries,2/4/2014,places,economics,Japan,,,most-government-debt-per-person-countries.csv
Fastest Growth at Westminster: Dogs,2/3/2014,other,lifestyle,Fox Terriers (Smooth),,,fastest-growth-at-westminster-dogs.csv
Most Divorced Residents: States,1/31/2014,places,lifestyle,Nevada,,TRUE,most-divorced-residents-states.csv
Biggest Increase in Divorce: States,1/31/2014,places,lifestyle,Maine,,,biggest-increase-in-divorce-states.csv
Top-Grossing Tours: Boomer Bands,1/22/2014,people,lifestyle,Bon Jovi,,,top-grossing-tours-boomer-bands.csv
Biggest Disease Outbreaks from Contamination: Foods,1/16/2014,other,lifestyle,Eggs,,TRUE,biggest-disease-outbreaks-from-contamination-foods-1.csv
Best Emerging Markets 2014: Countries,1/6/2014,places,investing,China,,TRUE,best-emerging-markets-2014-countries.csv
Best Frontier Markets 2014: Countries,1/6/2014,places,investing,Qatar,,TRUE,best-frontier-markets-2014-countries.csv
Best for Doing Business: Countries,1/3/2014,places,economics,Hong Kong,,TRUE,best-for-doing-business-countries.csv
Greatest Estimated Sales Growth in Internet Media: Companies,12/31/2013,companies,business,Qihoo 360 Technology,,TRUE,greatest-estimated-sales-growth-in-internet-media-companies.csv
World's Best Returns in 2013: Stocks,12/31/2013,companies,investing,Mercantil Servicios Financieros,,TRUE,worlds-best-returns-in-2013-stocks.csv
Best Against the Dollar in 2013: Currencies,12/31/2013,investments,economics,Israeli Shekel,,TRUE,best-against-the-dollar-in-2013-currencies.csv
Biggest Change in Pay Inequality Since 2008: U.S. Cities,12/30/2013,places,personal-finance,"Washington-Arlington-Alexandria, DC-VA-MD-WV",,TRUE,biggest-change-in-pay-inequality-since-2008-us-cities.csv
Most Wired in the World: Countries,12/26/2013,places,business,Norway,,TRUE,most-wired-in-the-world-countries.csv
Highest Auction Prices 2013: Fine Art,12/6/2013,people,investing,Francis Bacon,,,highest-auction-prices-2013-fine-art.csv
Best One-Month Internet IPOs: Stocks,12/6/2013,investments,business,FireEye,,TRUE,best-one-month-internet-ipos-stocks.csv
Best Places to Work: Companies,12/5/2013,companies,business,Twitter,,TRUE,best-places-to-work-companies.csv
Most Dangerous Tech Competitors in U.S.: Companies,12/4/2013,companies,business,IBM,,TRUE,most-dangerous-tech-competitors-in-u-dot-s-companies.csv
Most Govt Health-Care Spending in the Americas: Countries,12/3/2013,places,economics,United States,,,most-govt-health-care-spending-in-the-americas-countries.csv
Most Govt Health-Care Spending in Asia Pacific: Countries,12/3/2013,places,economics,Japan,,,most-govt-health-care-spending-in-asia-pacific-countries.csv
Top-Grossing in U.S.: Animated Movies,11/26/2013,other,business,The Lion King,,,top-grossing-in-u-dot-s-animated-movies.csv
Most Female Seniors at Work: States,11/25/2013,places,lifestyle,Alaska,,,most-female-seniors-at-work-states.csv
Most Male Seniors at Work: States,11/25/2013,places,lifestyle,District of Columbia,,,most-male-seniors-at-work-states.csv
Biggest Users of Green Power: Technology Companies,11/20/2013,companies,business,Lenovo,,TRUE,biggest-users-of-green-power-technology-companies.csv
Longest Serving: Federal Reserve Chairmen,11/19/2013,people,politics-and-policy,"William McChesney Martin, Jr.",,TRUE,longest-serving-federal-reserve-chairmen.csv
Oldest at Start of Term: Federal Reserve Chairmen,11/19/2013,people,politics-and-policy,Janet Yellen,,TRUE,oldest-at-start-of-term-federal-reserve-chairmen.csv
Most Innovative in U.S.: States,11/18/2013,places,economics,Washington,,TRUE,most-innovative-in-u-dot-s-states.csv
Best One-Day Internet IPOs: Stocks,11/14/2013,investments,business,LinkedIn,,TRUE,best-one-day-internet-ipos-stocks.csv
Best One-Week Internet IPOs: Stocks,11/14/2013,investments,business,LinkedIn,,TRUE,best-one-week-internet-ipos-stocks.csv
Biggest Decreases in Gold Stockpiles: Countries,10/31/2013,places,economics,Switzerland,,,biggest-decreases-in-gold-stockpiles-countries-1.csv
Biggest Increases in Gold Stockpiles: Countries,10/31/2013,places,economics,Russia,,,biggest-increases-in-gold-stockpiles-countries-1.csv
Most Affordable Among the Most Expensive: Colleges,10/29/2013,schools,education,Harvard University,,TRUE,most-affordable-among-the-most-expensive-colleges.csv
Most Assets Worldwide: Banks,10/29/2013,companies,business,Industrial & Commercial Bank of China,,TRUE,most-assets-worldwide-banks.csv
Lowest Paid with Strong Stock Performance: CEOs,10/25/2013,people,business,Robert Duggan,,,lowest-paid-with-strong-stock-performance-ceos-1.csv
Most Residents Thrice Wed or More: States,10/24/2013,places,lifestyle,Arkansas,,,most-residents-thrice-wed-or-more-states.csv
Biggest Drop in Debt Relative to GDP: Countries,10/24/2013,places,economics,Greece,,,biggest-drop-in-debt-relative-to-gdp-countries-1.csv
Most Money Raised: Kickstarter Campaigns,10/24/2013,other,business,Pebble: E-Paper Watch for iPhone and Android,,,most-money-raised-kickstarter-campaigns.csv
Most Funds Raised Through Green Bonds: Issuers,10/23/2013,companies,business,World Bank: International Bank for Reconstruction and Development,,,most-funds-raised-through-green-bonds-issuers.csv
Most Common in China: Surnames,10/22/2013,people,lifestyle,Ã¦ÂÅ½,,,most-common-in-china-surnames.csv
Biggest Rise in Health-Care Cost Relative to Income: Countries,10/21/2013,places,personal-finance,United States,,,biggest-rise-in-health-care-cost-relative-to-income-countries.csv
Most Licensed Drivers 19 and Younger: States,10/16/2013,places,lifestyle,Iowa,,,most-licensed-drivers-19-and-younger-states.csv
Most Licensed Drivers Age 85+: States,10/16/2013,places,lifestyle,Connecticut,,,most-licensed-drivers-age-85-plus-states.csv
Biggest Five-Year Decline in Pension Funding: States,10/15/2013,places,economics,Vermont,,TRUE,biggest-five-year-decline-in-pension-funding-states.csv
Highest Salaries for Software Engineers: Companies,10/14/2013,companies,business,Juniper Networks,,,highest-salaries-for-software-engineers-companies.csv
Highest Salaries for Software Engineers: U.S. Cities,10/14/2013,places,business,"San Jose, CA",,,highest-salaries-for-software-engineers-us-cities.csv
Worst Five-Year Outlook in Europe: Countries,10/11/2013,places,economics,Spain,,,worst-five-year-outlook-in-europe-countries.csv
Top 20 Tech-Turnaround Artists: CEOs,10/11/2013,people,business,Stephen Luczo,,TRUE,top-20-tech-turnaround-artists-ceos.csv
Harshest Future Austerity Measures: Countries,10/8/2013,places,economics,Japan,,,harshest-future-austerity-measures-countries.csv
Top-Selling Born Since 1980: Artists,10/2/2013,people,investing,Jacob Kassay,,TRUE,top-selling-born-since-1980-artists.csv
Top-Selling Born Since 1970: Artists,10/2/2013,people,investing,Banksy,,TRUE,top-selling-born-since-1970-artists.csv
Highest Growth in GDP and Population: States,9/30/2013,places,economics,North Dakota,,,highest-growth-in-gdp-and-population-states.csv
Greatest Risk of Stagflation: Countries,9/27/2013,places,economics,Cyprus,,,greatest-risk-of-stagflation-countries.csv
Top-Grossing in U.S.: Stephen King Movies,9/25/2013,other,business,The Green Mile,,,top-grossing-in-u-dot-s-stephen-king-movies.csv
Most Bike Lanes: U.S. Cities,9/25/2013,places,lifestyle,"Tucson, AZ",,,most-bike-lanes-us-cities.csv
Worst Gridlock: U.S. Cities,9/25/2013,places,lifestyle,"Washington, DC-VA-MD",,,worst-gridlock-us-cities.csv
Biggest Declines in Homeownership: States,9/23/2013,places,economics,Nevada,,,biggest-declines-in-homeownership-states.csv
Most Reliant on Nuclear Energy: Countries,9/23/2013,places,economics,France,,TRUE,most-reliant-on-nuclear-energy-countries.csv
Highest Homeownership Rates: U.S. Cities,9/19/2013,places,economics,"Grand Rapids-Wyoming, MI",,,highest-homeownership-rates-us-cities.csv
Longest-Tenured in U.S.: CFOs,9/12/2013,people,business,Paul Coghlan,,,longest-tenured-in-u-dot-s-cfos.csv
Oldest Operating Reactors in the U.S.: Nuclear Power Plants,9/11/2013,other,business,"Nine Mile Point Nuclear Station, Unit 1",,TRUE,oldest-operating-reactors-in-the-u-dot-s-nuclear-power-plants.csv
Most Vaccinated Children: States,9/10/2013,places,lifestyle,Mississippi,,,most-vaccinated-children-states.csv
Biggest Recoveries in Financial Sector: Stocks,9/10/2013,investments,business,Fifth Third Bancorp,,,biggest-recoveries-in-financial-sector-stocks.csv
Highest-Paid in U.S. While Outearning Their CEOs: CFOs,9/10/2013,people,personal-finance,Peter Oppenheimer,,,highest-paid-in-us-while-outearning-their-ceos-cfos.csv
Biggest Prospective Bubbles: U.S. Cities,9/9/2013,places,economics,"Yuma, AZ",,,biggest-prospective-bubbles-us-cities.csv
Worst On-Time Arrivals: Airlines,9/6/2013,companies,business,China Eastern Airlines,,TRUE,worst-on-time-arrivals-airlines.csv
Strongest in China: Banks,9/3/2013,companies,business,Bank of Beijing,,,strongest-in-china-banks.csv
Most Tech-CEO Alumni: Colleges,8/29/2013,schools,business,Princeton University,,,most-tech-ceo-alumni-colleges.csv
Most Tech-CEO Graduate School Alumni: Colleges,8/29/2013,schools,business,Harvard University,,,most-tech-ceo-graduate-school-alumni-colleges-1.csv
Most Female CFA Society Members: Global Regions,8/28/2013,places,business,Asia Pacific,,,most-female-cfa-society-members-global-regions.csv
